tatoeba_id	grammar_label	spanish	english	license
2270556	preterite_ar_hablar	¿Hablaste con Tom?	Did you talk to Tom?	CC BY 2.0
10523841	preterite_ar_hablar	Hablé con él ayer.	I talked to him yesterday.	CC BY 2.0
13523401	preterite_ar_hablar	¿Hablaste con ella?	Did you talk to her?	CC BY 2.0
3093088	preterite_ar_comprar	Compré un libro.	I bought a book.	CC BY 2.0
3093089	preterite_ar_comprar	Compré una casa.	I bought a house.	CC BY 2.0
1403481	preterite_ar_comprar	Tom compró una casa.	Tom bought a house.	CC BY 2.0
4543183	preterite_ar_trabajar	Trabajé mucho ayer.	I worked hard yesterday.	CC BY 2.0
2891996	preterite_ar_llegar	Llegué tarde.	I arrived late.	CC BY 2.0
2891997	preterite_ar_llegar	Llegué a casa.	I arrived home.	CC BY 2.0
4543185	preterite_ar_llegar	Tom llegó tarde.	Tom arrived late.	CC BY 2.0
10060049	preterite_ar_llamar	Te llamé ayer.	I called you yesterday.	CC BY 2.0
11826572	preterite_ar_llamar	Llamé a mi madre.	I called my mother.	CC BY 2.0
2271065	preterite_ar_entrar	Entré en la clase.	I entered the classroom.	CC BY 2.0
3124691	preterite_ar_escuchar	Escuché la radio.	I listened to the radio.	CC BY 2.0
1815093	preterite_ar_pasar	¿Qué pasó?	What happened?	CC BY 2.0
3124693	preterite_ar_pasar	Pasó algo extraño.	Something strange happened.	CC BY 2.0
1392017	preterite_ar_olvidar	Lo olvidé.	I forgot it.	CC BY 2.0
3286614	preterite_ar_olvidar	Olvidé mi nombre.	I forgot my name.	CC BY 2.0
5569103	preterite_ar_empezar	Empecé a estudiar.	I started studying.	CC BY 2.0
7813243	preterite_ar_viajar	Viajé a Madrid.	I traveled to Madrid.	CC BY 2.0
1640093	preterite_er_comer	Comí demasiado.	I ate too much.	CC BY 2.0
3093092	preterite_er_beber	Bebí agua.	I drank water.	CC BY 2.0
3093093	preterite_er_beber	Tom bebió café.	Tom drank coffee.	CC BY 2.0
2891998	preterite_er_correr	Corrí mucho.	I ran a lot.	CC BY 2.0
