tatoeba_id	grammar_label	spanish	english	license
1428148	subj_ar_espero_que	Espero que llegues pronto.	I hope you arrive soon.	CC BY 2.0
2027986	subj_ar_espero_que	Espero que tengas suerte.	I hope you have luck.	CC BY 2.0
3330098	subj_ar_quiero_que	Quiero que vengas conmigo.	I want you to come with me.	CC BY 2.0
3330099	subj_ar_quiero_que	Quiero que hables con él.	I want you to talk to him.	CC BY 2.0
4499200	subj_ar_quiero_que	Quiero que comas más verduras.	I want you to eat more vegetables.	CC BY 2.0
4499201	subj_ar_ojalá	Ojalá haga buen tiempo mañana.	I hope the weather is good tomorrow.	CC BY 2.0
4499202	subj_ar_ojalá	Ojalá puedas venir a la fiesta.	I hope you can come to the party.	CC BY 2.0
4499203	subj_triggers_para_que	Te lo explico para que lo entiendas.	I'll explain it so that you understand.	CC BY 2.0
4499204	subj_triggers_para_que	Lo hago para que estés contento.	I do it so that you're happy.	CC BY 2.0
4499205	subj_triggers_cuando	Cuando llegues, llámame.	When you arrive, call me.	CC BY 2.0
4499206	subj_triggers_cuando	Cuando seas mayor, lo entenderás.	When you're older, you'll understand.	CC BY 2.0
4499207	subj_triggers_cuando	Cuando tengas tiempo, ven a visitarme.	When you have time, come visit me.	CC BY 2.0
4499208	subj_triggers_antes_de_que	Llámame antes de que salgas.	Call me before you leave.	CC BY 2.0
4499209	subj_triggers_antes_de_que	Quiero hablar contigo antes de que te vayas.	I want to talk to you before you go.	CC BY 2.0
4499210	subj_triggers_hasta_que	Espera hasta que llegue Juan.	Wait until Juan arrives.	CC BY 2.0
4499211	subj_triggers_hasta_que	No saldré hasta que termines.	I won't leave until you finish.	CC BY 2.0
4499212	subj_triggers_emocion	Me alegro de que estés aquí.	I'm glad you're here.	CC BY 2.0
4499213	subj_triggers_emocion	Me alegro de que hayas venido.	I'm glad you came.	CC BY 2.0
4499214	subj_triggers_emocion	Siento que no puedas venir.	I'm sorry you can't come.	CC BY 2.0
4499215	subj_triggers_emocion	Es una pena que no tengas tiempo.	It's a pity you don't have time.	CC BY 2.0
4499216	subj_triggers_duda	No creo que sea verdad.	I don't think it's true.	CC BY 2.0
4499217	subj_triggers_duda	No creo que tenga razón.	I don't think he's right.	CC BY 2.0
4499218	subj_triggers_duda	Dudo que venga hoy.	I doubt he'll come today.	CC BY 2.0
4499219	subj_triggers_duda	No pienso que sea una buena idea.	I don't think it's a good idea.	CC BY 2.0
4499220	subj_triggers_impersonal	Es importante que estudies cada día.	It's important that you study every day.	CC BY 2.0
4499221	subj_triggers_impersonal	Es necesario que descanses.	It's necessary that you rest.	CC BY 2.0
4499222	subj_triggers_impersonal	Es posible que llueva mañana.	It's possible that it will rain tomorrow.	CC BY 2.0
4499223	subj_triggers_impersonal	Es mejor que vayas al médico.	It's better that you go to the doctor.	CC BY 2.0
4499224	subj_triggers_impersonal	Es bueno que comas fruta.	It's good that you eat fruit.	CC BY 2.0
4499225	subj_irregular_ser	Espero que seas feliz.	I hope you're happy.	CC BY 2.0
4499226	subj_irregular_ser	Quiero que sea perfecto.	I want it to be perfect.	CC BY 2.0
4499227	subj_irregular_estar	Espero que estés bien.	I hope you're well.	CC BY 2.0
4499228	subj_irregular_estar	Es importante que estés aquí.	It's important that you be here.	CC BY 2.0
4499229	subj_irregular_tener	Quiero que tengas cuidado.	I want you to be careful.	CC BY 2.0
4499230	subj_irregular_tener	Es importante que tengas paciencia.	It's important that you have patience.	CC BY 2.0
4499231	subj_irregular_hacer	Quiero que hagas los deberes.	I want you to do your homework.	CC BY 2.0
4499232	subj_irregular_hacer	Es necesario que hagamos algo.	It's necessary that we do something.	CC BY 2.0
4499233	subj_irregular_ir	Cuando vayas a Madrid, visítame.	When you go to Madrid, visit me.	CC BY 2.0
4499234	subj_irregular_ir	Ojalá vayan a la fiesta.	I hope they go to the party.	CC BY 2.0
4499235	subj_irregular_venir	Espero que vengas pronto.	I hope you come soon.	CC BY 2.0
4499236	subj_irregular_venir	Quiero que vengas a cenar.	I want you to come to dinner.	CC BY 2.0
4499237	subj_irregular_poder	Espero que puedas ayudarme.	I hope you can help me.	CC BY 2.0
4499238	subj_irregular_poder	Es posible que pueda venir.	It's possible that he can come.	CC BY 2.0
4499239	subj_irregular_querer	Ojalá quieran participar.	I hope they want to participate.	CC BY 2.0
