tatoeba_id	grammar_label	french	english	license
6303	passe_compose_avoir	J'ai essayé l'équitation.	I experienced horse riding.	CC BY 2.0
6422	passe_compose_avoir	J'ai raté l'examen.	I failed the exam.	CC BY 2.0
6763	passe_compose_avoir	J'ai parlé de musique.	I talked about music.	CC BY 2.0
4290	passe_compose_avoir	J'ai mangé du caviar.	I ate caviar.	CC BY 2.0
6818	passe_compose_avoir	J'ai vu un chien.	I saw a dog.	CC BY 2.0
3606	passe_compose_avoir	J'ai pris ma décision.	I made my decision.	CC BY 2.0
7070	passe_compose_avoir	Je l'ai acheté.	I bought it.	CC BY 2.0
6467	passe_compose_avoir	J'ai pris froid hier.	I caught a cold yesterday.	CC BY 2.0
4319	passe_compose_avoir	J'ai parlé à des amis.	I talked to friends.	CC BY 2.0
14768	passe_compose_avoir	J'ai bien dormi.	I've had a good sleep.	CC BY 2.0
11113	passe_compose_etre	Ken est arrivé à Kyoto.	Ken has arrived in Kyoto.	CC BY 2.0
15056	passe_compose_etre	Lincoln est mort en 1865.	Lincoln died in 1865.	CC BY 2.0
15355	passe_compose_etre	Il est né dans l'Ohio.	He was born in Ohio.	CC BY 2.0
15506	passe_compose_etre	Il est allé à Hokkaïdo.	He has gone to Hokkaido.	CC BY 2.0
15527	passe_compose_etre	Elle est venue de là.	She came out of there.	CC BY 2.0
13122	passe_compose_etre	Paris est tombée en 1940.	Paris fell in 1940.	CC BY 2.0
14508	passe_compose_etre	Il est tombé par terre.	He fell down on the floor.	CC BY 2.0
6468	imparfait	J'étais occupé hier.	I was busy yesterday.	CC BY 2.0
6472	imparfait	Hier, j'étais malade.	I was ill yesterday.	CC BY 2.0
6477	imparfait	Hier, j'étais heureux.	I was happy yesterday.	CC BY 2.0
3105	imparfait	J'étais dans les montagnes.	I was in the mountains.	CC BY 2.0
7136	imparfait	Il regardait l'image.	He looked at the picture.	CC BY 2.0
8288	imparfait	Il faisait chaud hier.	It was hot yesterday.	CC BY 2.0
8293	imparfait	Il faisait froid hier.	It was cold yesterday.	CC BY 2.0
8617	imparfait	Heureusement il faisait beau.	Fortunately, the weather was good.	CC BY 2.0
6318	imparfait	J'étais un peu surpris.	I was a little surprised.	CC BY 2.0
12352	imparfait	C'était un cauchemar.	It was a nightmare.	CC BY 2.0
3104	imparfait	C’était un méchant lapin.	That was an evil bunny.	CC BY 2.0
15793	futur_simple	Il neigera demain.	It'll snow tomorrow.	CC BY 2.0
3099	futur_simple	Je serai bientôt de retour.	I will be back soon.	CC BY 2.0
8396	futur_simple	Je serai libre ce soir.	I'll be free this evening.	CC BY 2.0
8471	futur_simple	Il fera beau cet après-midi.	It will be fine this afternoon.	CC BY 2.0
11791	futur_simple	Je partirai quand John viendra.	I will leave when John comes.	CC BY 2.0
6878	futur_simple	Je ne le verrai jamais.	I will never see him.	CC BY 2.0
3383	cod_pronouns	Je le prends.	I'll take him.	CC BY 2.0
3580	cod_pronouns	Je le vois rarement.	I see it rarely.	CC BY 2.0
559131	cod_pronouns	Je l'aime beaucoup.	I like it very much.	CC BY 2.0
7410	cod_pronouns	Je te connais.	I know you.	CC BY 2.0
7451	cod_pronouns	Je te remercie.	I thank you.	CC BY 2.0
135185	cod_pronouns	Je te crois.	I believe you.	CC BY 2.0
7073	cod_pronouns	Je l'ai oublié.	I forgot it.	CC BY 2.0
9442	cod_pronouns	Je l'ai vu.	I did see him.	CC BY 2.0
6434	coi_pronouns	Je n'ose pas lui parler.	I dare not speak to her.	CC BY 2.0
12413	coi_pronouns	Je te le donnerai.	I will give it to you.	CC BY 2.0
11634	coi_pronouns	Sam aide quiconque lui demande.	Sam helps whoever asks him to.	CC BY 2.0
492321	coi_pronouns	Je te le prêterai.	I'll lend it to you.	CC BY 2.0
492323	coi_pronouns	Je vous le prêterai.	I'll lend it to you.	CC BY 2.0
7231	y_pronoun	J'y suis souvent allé.	I have often been there.	CC BY 2.0
14703	y_pronoun	J'y suis également allé.	I also went there.	CC BY 2.0
126643	y_pronoun	Tu peux y arriver.	You can do it.	CC BY 2.0
474834	y_pronoun	Tu peux y aller.	You may go there.	CC BY 2.0
11705	y_pronoun	Vas-y et gagne !	Go in and win!	CC BY 2.0
4266	en_pronoun	Je n'en veux plus.	I don't want it anymore.	CC BY 2.0
6779	en_pronoun	J'en ai assez de l'anglais.	I'm fed up with English.	CC BY 2.0
13504	en_pronoun	Je n'en aime aucun.	I don't like any of them.	CC BY 2.0
13565	en_pronoun	Je n'en veux pas plus.	I don't want any more.	CC BY 2.0
6664	pronominal_passe	Je me suis habillé précipitamment.	I hurried my clothes on.	CC BY 2.0
11712	imperatif_tu	Assieds-toi et détends-toi.	Sit down and take it easy for a while.	CC BY 2.0
13493	imperatif_tu	Bois ton lait.	Drink up your milk.	CC BY 2.0
9698	imperatif_tu	Donne-moi à boire.	Give me something to drink.	CC BY 2.0
3847	imperatif_tu	Prends l'autre chaise !	Take the other chair!	CC BY 2.0
11228	imperatif_tu	Viens ici, John.	Come here, John.	CC BY 2.0
15734	imperatif_vous	Levez-vous, s'il vous plaît.	Stand up, please.	CC BY 2.0
11817	superlatif	Jean est mon meilleur ami.	John is my best friend.	CC BY 2.0
8324	superlatif	Espérons le meilleur.	Let's hope for the best.	CC BY 2.0
13684	superlatif	Montrez-m'en un meilleur.	Show me a better one.	CC BY 2.0
4205	comparatif	Mieux vaut tard que jamais.	Better late than never.	CC BY 2.0
7418	comparatif	Il t'aime autant que moi.	He loves you as much as I do.	CC BY 2.0
12694	comparatif	Viens aussi vite que possible.	Come as soon as possible.	CC BY 2.0
12349	conditionnel_politesse	Ce serait mieux d'essayer.	It would be better to try.	CC BY 2.0
7326	conditionnel_politesse	J'aimerais être guitariste.	I'd like to be a guitarist.	CC BY 2.0
6837	conditionnel_politesse	J'aimerais aller à Londres.	I'd like to go to London.	CC BY 2.0
7012	conditionnel_politesse	J'aimerais regarder la télévision.	I'd like to watch TV.	CC BY 2.0
9857	conditionnel_politesse	Je voudrais aller nager.	I should like to go for a swim.	CC BY 2.0
14370	conditionnel_politesse	Je voudrais la rencontrer.	I'd like to see her.	CC BY 2.0
4169	depuis_pendant	J'attends depuis des heures.	I've been waiting for hours.	CC BY 2.0
7305	depuis_pendant	J'habite ici depuis trois ans.	I have been living here for three years.	CC BY 2.0
7518	depuis_pendant	J'ai lu pendant 1 heure.	I had been reading for an hour.	CC BY 2.0
14865	depuis_pendant	J'ai dormi pendant 9 heures.	I slept nine hours.	CC BY 2.0
6800	adverbe_ment	J'aime vraiment nager.	I like swimming very much.	CC BY 2.0
13459	adverbe_ment	C'est vraiment horrible.	It's really horrible.	CC BY 2.0
3136	adverbe_ment	C'est malheureusement vrai.	It is unfortunately true.	CC BY 2.0
15154	adverbe_ment	C'est complètement faux.	That's altogether wrong.	CC BY 2.0
14142	adverbe_ment	Fais-le immédiatement !	Do it at once.	CC BY 2.0
4325	relatif_qui_que	Ceux qui le connaissent l'apprécient.	Those who know him like him.	CC BY 2.0
4326	relatif_qui_que	Dis-moi ce qui est arrivé.	Tell me what happened.	CC BY 2.0
