tatoeba_id	grammar_label	french	english	license
3162	conditionnel_passe	C'est ce que j'aurais dit.	This is what I would have said.	CC BY 2.0
8049	conditionnel_passe	J'aurais aimé être un oiseau.	I wish I were a bird.	CC BY 2.0
10152	conditionnel_passe_devoir	Il aurait dû travailler plus.	He should have worked harder.	CC BY 2.0
10302	conditionnel_passe	Sans ton aide j'aurais échoué.	But for your help, I would have failed.	CC BY 2.0
12077	conditionnel_passe	J'aurais aimé voir le film.	I wish I had seen the film.	CC BY 2.0
13626	conditionnel_passe	J'aurais aimé avoir meilleure mémoire.	I wish I had a better memory.	CC BY 2.0
14178	conditionnel_passe	J'aurais aimé être plus grand.	I wish I were taller.	CC BY 2.0
2061650	conditionnel_passe_devoir	Tu aurais dû te présenter.	You should have introduced yourself.	CC BY 2.0
429507	conditionnel_passe_pouvoir	Tu aurais pu le faire.	You could have done it.	CC BY 2.0
474105	conditionnel_passe_devoir	Tu aurais dû voir l'exposition.	You ought to have seen the exhibition.	CC BY 2.0
563254	conditionnel_passe_devoir	Tu aurais dû le voir.	You ought to have seen it.	CC BY 2.0
3258	conditionnel_passe_devoir	Je n'aurais pas dû me déconnecter.	I shouldn't have logged off.	CC BY 2.0
7540	discours_rapporte_passe	Je pensais qu'elle était mignonne.	I thought she was pretty.	CC BY 2.0
3875	discours_rapporte_passe	Je savais qu'aujourd'hui serait amusant.	I knew that today would be fun.	CC BY 2.0
9056	futur_anterieur	Je serai parti avant votre retour.	I will have left when you return.	CC BY 2.0
10294	futur_anterieur	J'aurai réparé votre montre d'ici demain.	I will have repaired your watch by tomorrow.	CC BY 2.0
9757	passif_se	Les crayons se vendent par douzaines.	Pencils are sold by the dozen.	CC BY 2.0
14105	passif_simple	L'anglais est parlé en Australie.	English is spoken in Australia.	CC BY 2.0
8565	passif_compose	Le parlement a été dissous.	The Diet has been dissolved.	CC BY 2.0
13404	passif_compose	Mike a été élu président.	Mike was elected chairperson.	CC BY 2.0
15142	passif_compose	Beaucoup d'arbres ont été abattus.	A lot of trees were cut down.	CC BY 2.0
15474	passif_compose	Il a été élu président.	He was elected chairman.	CC BY 2.0
6478	passif_compose	Ma bicyclette a été réparée hier.	I had my bicycle fixed yesterday.	CC BY 2.0
11053	passif_compose	Cookie a été élevé par Kate.	Cookie was raised by Kate.	CC BY 2.0
6245	passif_compose	J'ai été grondé par mon professeur.	I was scolded by my teacher.	CC BY 2.0
6398	faire_causatif	J'ai fait réparer ma bicyclette.	I got my bicycle repaired.	CC BY 2.0
4288	accord_pp_pronominal	Hier, nous nous sommes bien amusés.	Yesterday we had fun.	CC BY 2.0
6814	connecteurs_concession	Je suis sorti malgré la pluie.	In spite of the rain, I went out.	CC BY 2.0
11001	subjonctif_imparfait_litteraire	Bien qu'il plût, je devais sortir.	Although it was raining, I had to go out.	CC BY 2.0
11691	connecteurs_opposition	Néanmoins, la quantité est incorrecte.	However, the quantity is not correct.	CC BY 2.0
11119	hypothese_comme_si	Ken parle comme s'il savait tout.	Ken talks as if he knew everything.	CC BY 2.0
8385	opinion_negative_subj	J'ai peur qu'il pleuve ce soir.	I'm afraid it'll rain tonight.	CC BY 2.0
9733	mise_en_relief_que	C'est toi que j'aimerai toujours.	You're the one I'll always love.	CC BY 2.0
7879	mise_en_relief_qui	C'est elle qui me l'a dit.	It was she who has told me.	CC BY 2.0
7562	mise_en_relief_que	C'est le printemps que je préfère.	I like spring the best.	CC BY 2.0
3281	mise_en_relief_que	C'est là que réside le problème.	Therein lies the problem.	CC BY 2.0
7969	mise_en_relief_quant_a	Quant à moi, je préfère celui-ci.	For me, I like this better.	CC BY 2.0
6957	nominalisation	J'ai attendu l'arrivée du bus.	I waited for a bus to come.	CC BY 2.0
8853	nominalisation	Je vous laisserai la décision.	I'll leave the decision to you.	CC BY 2.0
3705	gerondif_simultaneite	J'ai lu un livre en mangeant.	I read a book while eating.	CC BY 2.0
3626	gerondif_maniere	Affronte la vie en souriant !	Face life with a smile!	CC BY 2.0
10619	pronom_relatif_ou	C'est la maison où il réside.	That is the house where he lives.	CC BY 2.0
10640	passif_on_dit	On dit qu'Anne est leur chef.	Ann is said to be their leader.	CC BY 2.0
4281	passif_on	On l'a averti à plusieurs reprises.	He has been warned on several occasions.	CC BY 2.0
8616	passif_compose	Heureusement, personne ne fut blessé.	Fortunately, no one was hurt.	CC BY 2.0
